,Global Rank,Institution,Country,Sector
105,93,Universitatsklinikum Wurzburg,DEU,Health
106,94,"Beijing Institute of Genomics, Chinese Academy of Sciences",CHN,Government
107,94,Northwestern Medicine,USA,Health
108,95,"University of North Carolina, Chapel Hill *",USA,Universities
109,96,National Cancer Center,JPN,Health
110,97,U.S. Department of Health & Human Services *,USA,Health
111,98,"University of Michigan, Ann Arbor *",USA,Universities
112,99,Shanghai Medical College of Fudan University,CHN,Universities
113,99,Swiss Federal Institute of Technology,CHE,Universities
114,100,Shanghai Cancer Center Fudan University,CHN,Health
115,101,Instituto de Investigaciones Biomedicas Alberto Sols,ESP,Government
116,102,Mount Sinai Health System *,USA,Health
117,102,Ecole Polytechnique Federale de Lausanne,CHE,Universities
118,102,Centro Nacional de Investigaciones Cardiovasculares,ESP,Health
119,103,"University of California, San Diego *",USA,Universities
120,104,Council of Scientific and Industrial Research *,IND,Government
121,105,German Cancer Consortium,DEU,Government
122,106,Central South University *,CHN,Universities
123,106,Institute of Molecular and Cell Biology,SGP,Government
124,106,Weill Cornell Medicine,USA,Universities
125,107,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities
126,107,Imperial College London,GBR,Universities
127,107,Cornell University *,USA,Universities
128,108,Smithsonian Institution *,USA,Government
129,109,"University of California, Los Angeles *",USA,Universities
130,110,Collaborative Innovation Center of Chemical Science and Engineering,CHN,Government
131,111,Massachusetts General Hospital,USA,Health
132,112,Nanfang Hospital,CHN,Health
133,113,Barcelona Institute of Science and Technology *,ESP,Government
134,114,University of Pittsburgh Medical Center ,USA,Health
135,114,Yale University *,USA,Universities
136,114,Argonne National Laboratory,USA,Government
137,115,Oxford University Hospitals NHS Trust,GBR,Health
138,116,Takeda Pharmaceuticals International Inc *,MUL,Companies
139,117,Novo Nordisk *,MUL,Companies
140,117,University of Tokyo *,JPN,Universities
141,118,"University of Texas, Health Science Center at Houston",USA,Universities
142,119,Wellcome Trust Sanger Institute,GBR,Health
143,120,NHS Lothian,GBR,Health
144,120,Novo Nordisk A/S,DNK,Companies
145,121,Houston Methodist,USA,Health
146,121,Joint BioEnergy Institute,USA,Government
147,122,Jinling Hospital,CHN,Health
148,123,University of Pennsylvania Health System,USA,Health
149,124,"Agency for Science, Technology and Research Singapore *",SGP,Government
150,125,"AstraZeneca, United States",USA,Companies
151,126,Columbia University *,USA,Universities
152,127,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
153,128,Instituto de Investigacion Hospital 12 de Octubre,ESP,Health
154,129,Institucio Catalana de Recerca i Estudis Avancats,ESP,Government
155,130,Bayer *,MUL,Companies
156,131,Shandong University *,CHN,Universities
157,132,Institut de Ciencies Fotoniques,ESP,Government
158,132,European Organization for Nuclear Research,CHE,Government
159,132,"Moscow Aviation Institute, State University of Aerospace Technologies",RUS,Universities
160,133,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
161,134,Woodruff Health Sciences Center,USA,Health
162,135,European Molecular Biology Organization *,DEU,Government
163,136,Mitsubishi Corp *,MUL,Companies
164,137,Columbia University Irving Medical Center,USA,Health
165,137,Boehringer Ingelheim GmbH Germany,DEU,Companies
166,137,University Health Network *,CAN,Health
167,137,Great Ormond Street Hospital for Children NHS Trust,GBR,Health
168,138,NYU Langone Medical Center,USA,Health
169,138,Imperial College Healthcare NHS Trust,GBR,Health
170,138,Max Planck Institut fur Intelligente Systeme,DEU,Government
171,139,Dalian University of Technology,CHN,Universities
172,140,"Toyota Motor Corp, Japan",JPN,Companies
173,140,"Islamic Azad University, Khomeinishahr",IRN,Universities
174,141,Asan Medical Center Seoul *,KOR,Health
175,141,Jiangnan University *,CHN,Universities
176,141,IBM Switzerland Research Laboratory,CHE,Companies
177,142,Shanghai East Hospital,CHN,Health
178,143,Flanders Interuniversity Institute for Biotechnology,BEL,Government
179,144,Novartis *,MUL,Companies
180,144,University of Pennsylvania *,USA,Universities
181,144,Icahn School of Medicine at Mount Sinai,USA,Universities
182,145,"Pfizer Inc, United States",USA,Companies
183,146,Collaborative Innovation Center of Quantum Matter,CHN,Government
184,147,"National Institute of Biological Sciences, Beijing",CHN,Government
185,148,Institut de Recerca Hospital Universitari Vall d'Hebron,ESP,Health
186,149,"University of Texas, Austin",USA,Universities
187,150,"Takeda Pharmaceutical Co Inc, Japan",JPN,Companies
188,150,"Dalian Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government
189,151,Thomas Jefferson University *,USA,Universities
190,152,Centro de Investigacion Biomedica en Red sobre Enfermedades Neurodegenerativas,ESP,Health
191,153,"General Motors Company, United States",USA,Companies
192,154,Chan Zuckerberg Biohub,USA,Health
193,155,Changhai Hospital of Shanghai,CHN,Health
194,156,St Michaels Hospital Toronto,CAN,Health
195,157,Jiangsu University *,CHN,Universities
196,158,Beijing University of Chemical Technology,CHN,Universities
197,158,Montefiore Medical Center *,USA,Health
198,159,Deutsches Krebsforschungszentrum,DEU,Government
199,159,"University of Wisconsin, Madison *",USA,Universities
200,160,H. Lee Moffitt Cancer Center and Research Institute,USA,Health
201,161,Duke University *,USA,Universities
202,162,Seoul National University *,KOR,Universities
203,162,Walter and Eliza Hall Institute of Medical Research,AUS,Health
204,163,University of Illinois at Urbana-Champaign *,USA,Universities
205,163,Sun Yat-sen University Cancer Center,CHN,Health
206,164,Oak Ridge National Laboratory,USA,Government
207,165,University of Michigan Health System,USA,Health
208,166,"Changchun Institute of Applied Chemistry, Chinese Academy of Sciences",CHN,Government
209,166,University of Iowa Health Care,USA,Health
210,167,British Columbia Cancer Agency,CAN,Health
211,167,Shanghai Institute of Organic Chemistry Chinese Academy of Sciences,CHN,Government
212,168,RTI Health Solutions,USA,Companies
213,169,University of Texas Medical Branch ,USA,Universities
214,169,Centro de Regulacion Genomica,ESP,Health
215,170,University of Rochester Medical Center,USA,Health
216,171,Johns Hopkins Medicine,USA,Health
217,171,UCB Pharma SA *,MUL,Companies
218,171,General Motors Company *,MUL,Companies
219,172,Pfizer *,MUL,Companies
220,172,Zhejiang University of Technology,CHN,Universities
221,172,University of Chicago *,USA,Universities
222,173,King Saud University *,SAU,Universities
223,174,Mayo Clinic *,USA,Health
224,175,Tongji University *,CHN,Universities
225,175,The University of Manchester,GBR,Universities
226,176,University College London *,GBR,Universities
227,177,Princess Margaret Cancer Centre,CAN,Health
228,178,Yale University Health & Medicine,USA,Health
229,178,Hunan University,CHN,Universities
230,178,AstraZeneca *,MUL,Companies
231,179,East China University of Science and Technology,CHN,Universities
232,180,Leibniz Gemeinschaft *,DEU,Government
233,180,Georgia Institute of Technology *,USA,Universities
234,180,University of Washington *,USA,Universities
235,180,Veterans Affairs Medical Centers *,USA,Health
236,181,Centre for Ecology and Hydrology,GBR,Government
237,181,Duke Medicine,USA,Health
238,182,Cleveland Clinic *,USA,Health
239,183,Royal Netherlands Academy of Arts and Sciences *,NLD,Government
240,183,Korea Advanced Institute of Science and Technology *,KOR,Universities
241,184,Salk Institute for Biological Studies,USA,Health
242,184,"University of California, San Francisco *",USA,Universities
243,184,"Hoffmann-La Roche Ltd, Switzerland",CHE,Companies
244,185,Japan Science & Technology Agency,JPN,Government
245,185,Pennsylvania State University *,USA,Universities
246,185,Dartmouth College *,USA,Universities
247,186,Skane University Hospital,SWE,Health
248,186,University of Texas Southwestern Medical Center ,USA,Universities
249,187,Temple Health,USA,Health
250,187,Vanderbilt University *,USA,Universities
251,187,Stanford Medicine,USA,Health
252,188,Athinoula A Martinos Center for Biomedical Imaging,USA,Health
253,189,Institut Pasteur de Paris *,FRA,Health
254,190,"Southeast University, Nanjing *",CHN,Universities
255,191,Max Planck Institut fur Kolloid und Grenzflachenforschung,DEU,Government
256,192,Shanghai Institutes for Biological Sciences Chinese Academy of Sciences,CHN,Government
257,192,"Louisiana State University, Health Sciences Center",USA,Universities
258,192,CIC energiGUNE,ESP,Non-Profit
259,193,UCLA Health System,USA,Health
260,193,BioTechMed-Graz,AUT,Government
261,194,Istituto Italiano di Tecnologia,ITA,Non-Profit
262,195,University of Washington Medicine ,USA,Health
263,196,"Eli Lilly and Company, United States",USA,Companies
264,196,UC San Diego Health System,USA,Health
265,196,Korea University *,KOR,Universities
266,197,Zhejiang Ocean University,CHN,Universities
267,197,Oregon Health & Science University *,USA,Universities
268,198,Zhengzhou University *,CHN,Universities
269,199,Catholic University of Leuven,BEL,Universities
270,199,National Institute of Environmental Health Sciences,USA,Health
271,200,Merck *,MUL,Companies
272,201,Kyoto University *,JPN,Universities
273,202,University of Toronto,CAN,Universities
274,203,National Institute on Aging,USA,Health
275,203,Institute for Systems Biology,USA,Health
276,204,Hospital Clinic i Provincial de Barcelona,ESP,Health
277,205,St Jude Childrens Research Hospital,USA,Health
278,205,Texas Tech University Health Sciences Center,USA,Universities
279,206,Johns Hopkins University *,USA,Universities
280,207,"AstraZeneca, Sweden",SWE,Companies
281,207,"Institute of Science and Technology, Austria",AUT,Government
282,207,Australian Research Council *,AUS,Government
283,208,"University of Minnesota, Twin Cities *",USA,Universities
284,208,National Center for Nanoscience and Technology of China,CHN,Government
285,208,BeiHang University *,CHN,Universities
286,209,University of Science and Technology Beijing,CHN,Universities
287,209,Institut Catala de Nanociencia i Nanotecnologia,ESP,Government
288,210,Drexel University,USA,Universities
289,210,Albert Einstein College of Medicine,USA,Universities
290,211,University of Kansas Medical Center,USA,Health
291,212,"Merck & Co Inc, United States",USA,Companies
292,212,Institute of Materials Research and Engineering,SGP,Government
293,212,Academisch Medisch Centrum,NLD,Health
294,212,"University of California, Santa Barbara",USA,Universities
295,213,Centro Singular de Investigacion en Medicina Molecular y Enfermedades Cronicas,ESP,Government
296,213,Istituto Europeo di Oncologia,ITA,Health
297,213,Delft University of Technology,NLD,Universities
298,214,Boehringer Ingelheim *,MUL,Companies
299,215,University Hospital Maastricht,NLD,Health
300,215,University of North Carolina Health Care,USA,Health
301,216,Wake Forest University Baptist Medical Center,USA,Health
302,217,"Yantai Institute of Coastal Zone Research, Chinese Academy of Sciences",CHN,Government
303,218,Nanjing University of Technology,CHN,Universities
304,219,Princeton University,USA,Universities
305,220,"Institute of Physics, Chinese Academy of Sciences",CHN,Government
306,221,Xiamen University *,CHN,Universities
307,221,"Institute of Microbiology, Chinese Academy of Sciences",CHN,Government
308,222,"Institute of Biophysics, Chinese Academy of Sciences",CHN,Government
309,223,Baylor College of Medicine,USA,Universities
310,223,Fraunhofer-Institut fur Zelltherapie und Immunologie,DEU,Government
311,224,Fuzhou University,CHN,Universities
312,225,Eli Lilly *,MUL,Companies
313,226,"Bristol-Myers Squibb Company, United States",USA,Companies
314,226,Purdue University,USA,Universities
315,227,The General Hospital of the People's Liberation Army,CHN,Health
316,228,Ulsan National Institute of Science and Technology *,KOR,Universities
317,229,Daegu Haany University,KOR,Universities
318,230,China Pharmaceutical University,CHN,Universities
319,230,Bristol-Myers Squibb Company *,MUL,Companies
320,231,Technische Universitat Munchen *,DEU,Universities
321,232,"Daiichi Sankyo Co., Ltd. Japan",JPN,Companies
322,233,Shanghai Tenth People's Hospital,CHN,Health
323,233,Max Planck Institut fur Molekulare Pflanzenphysiologie,DEU,Government
324,233,University of Electronic Science and Technology of China,CHN,Universities
325,234,The Hong Kong University of Science and Technology,HKG,Universities
326,234,Instituto de Salud Carlos III *,ESP,Health
327,234,Universitatsklinikum Bonn,DEU,Health
328,235,"Ningbo Institute of Material Technology and Engineering, Chinese Academy of Sciences",CHN,Government
329,235,Wuhan University of Technology,CHN,Universities
330,235,University Hospitals Leuven,BEL,Health
331,235,Australian Research Council Centre of Excellence for Electromaterials Science,AUS,Government
332,236,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",CHN,Government
333,237,University of Pittsburgh *,USA,Universities
334,238,University of Dundee,GBR,Universities
335,238,Institut Catala d'Investigacio Quimica,ESP,Government
336,239,Boston College,USA,Universities
337,240,The Francis Crick Institute,GBR,Health
338,240,Vanderbilt University Medical Center,USA,Health
339,241,Wuhan Union Hospital,CHN,Health
340,241,UC Davis Health System,USA,Health
341,242,Deutsches Zentrum fur Herz Kreislauf Forschung,DEU,Health
342,242,"Institute of Optics and Electronics, Chinese Academy of Sciences",CHN,Government
343,243,Fraunhofer Institut fur Solare Energiesysteme,DEU,Government
344,243,Max Planck Institut fur Kohlenforschung,DEU,Government
345,244,"Texas A&M University, College Station *",USA,Universities
346,244,Basque Research and Technology Alliance *,ESP,Government
347,245,University of New South Wales,AUS,Universities
348,246,Ministry of Agriculture,CHN,Government
349,246,"Daiichi Sankyo Co., Ltd. *",MUL,Companies
350,246,"University of Massachusetts, Amherst",USA,Universities
351,247,Rice University,USA,Universities
352,248,Fondazione IRCCS San Raffaele del Monte Tabor,ITA,Health
353,249,Samsung Advanced Institute Technology,KOR,Government
354,250,Shoolini University,IND,Universities
355,251,"University of California, Irvine *",USA,Universities
356,252,Gorgan University of Agriculture and Natural Resources,IRN,Universities
357,253,Boston University Medical Campus ,USA,Health
358,254,"Monash University, Melbourne *",AUS,Universities
359,255,Helmholtz Zentrum Munchen Forschungszentrum fur Umwelt und Gesundheit,DEU,Government
360,255,Swiss Federal Laboratories for Materials Science and Technology,CHE,Government
361,256,The University of Adelaide,AUS,Universities
362,257,Beijing Institute of Technology,CHN,Universities
363,257,University of Florida *,USA,Universities
364,258,"Ohio State University, Columbus *",USA,Universities
365,259,Instituto de Investigacion Sanitaria de Navarra,ESP,Health
366,259,"Boehringer Ingelheim, USA",USA,Companies
367,259,Royal Prince Alfred Hospital ,AUS,Health
368,260,Rush University Medical Center,USA,Health
369,260,Chinese Academy of Agricultural Sciences *,CHN,Government
370,260,Sungkyunkwan University,KOR,Universities
371,261,Chongqing University,CHN,Universities
372,261,Centro Nacional de Investigaciones Oncologicas,ESP,Health
373,261,Assistance Publique Hopitaux de Paris *,FRA,Health
374,262,RIKEN-Institute of Physical and Chemical Research,JPN,Government
375,262,Brookhaven National Laboratory *,USA,Government
376,263,West Virginia University Health Sciences Center,USA,Health
377,264,Australian Research Council Centre of Excellence for Nanoscale BioPhotonics,AUS,Government
378,264,Max Planck Institut fur Herz und Lungenforschung,DEU,Government
379,264,"Siemens AG, Germany",DEU,Companies
380,265,Institute for Basic Science,KOR,Government
381,265,Instituto de Ciencia y Tecnologia de Alimentos y Nutricion,ESP,Government
382,266,Emory University *,USA,Universities
383,266,University of Groningen *,NLD,Universities
384,267,"University of California, Santa Cruz",USA,Universities
385,268,"Janssen Research & Development, LLC",BEL,Companies
386,269,The University of Queensland *,AUS,Universities
387,269,First Affiliated Hospital of Jinan University,CHN,Health
388,269,Southwest University *,CHN,Universities
389,269,Pacific Northwest National Laboratory,USA,Government
390,269,University of Connecticut Health Center,USA,Universities
391,269,Universitatsklinikums Aachen,DEU,Health
392,270,Aarhus University Hospital,DNK,Health
393,270,Universitatsklinikum Greifswald,DEU,Health
394,271,Eindhoven University of Technology,NLD,Universities
395,271,Johnson & Johnson *,MUL,Companies
396,271,University of Wisconsin Health,USA,Health
397,272,"University of California, Davis *",USA,Universities
398,272,"Centro de Investigacion Biomedica en Red en Bioingenieria, Biomateriales y Nanomedicina",ESP,Health
399,272,Intel Corp *,MUL,Companies
400,273,Commissariat a lвЂ™Energie Atomique et aux Energies Alternatives *,FRA,Government
401,274,National Institute of Allergy and Infectious Diseases,USA,Health
402,275,Istituto Giannina Gaslini Ospedale Pediatrico IRCCS,ITA,Health
403,275,Barbara Ann Karmanos Cancer Institute,USA,Health
404,276,Washington University Medical Center ,USA,Health
405,277,China Agricultural University,CHN,Universities
406,277,Sorbonne Universite *,FRA,Universities
407,278,"Hoffmann-La Roche, GmbH., Germany",DEU,Companies
408,278,University of Pittsburgh Health Sciences,USA,Universities
409,278,East China Normal University,CHN,Universities
410,278,Second Military Medical University *,CHN,Universities
411,279,University of Minnesota Health and Medicine,USA,Universities
412,279,"Suzhou Institute of Nano-Tech and Nano-Bionics, Chinese Academy of Sciences",CHN,Government
413,280,University of Wollongong *,AUS,Universities
414,280,Universite de Strasbourg *,FRA,Universities
415,281,University of Durham,GBR,Universities
416,281,Saint Louis University Care,USA,Health
417,281,University of Southern California *,USA,Universities
418,282,Swiss Institute of Bioinformatics,CHE,Non-Profit
419,283,Taipei Veterans General Hospital,TWN,Health
420,284,Arizona State University,USA,Universities
421,284,Universite Paris-Saclay *,FRA,Universities
422,284,Universite Montpellier *,FRA,Universities
423,285,First Affiliated Hospital of Dalian Medical University ,CHN,Health
424,286,First Affiliated Southwest Hospital to Third Military Medical University,CHN,Health
425,286,University of Warwick,GBR,Universities
426,287,Laboratoire National des Champs Magnetiques Intenses,FRA,Government
427,288,Leiden University *,NLD,Universities
428,288,First Affiliated Hospital of Soochow University,CHN,Health
429,288,Singapore University of Technology and Design,SGP,Universities
430,288,The Chinese University of Hong Kong *,HKG,Universities
431,289,"Institute of Tibetan Plateau Research, Chinese Academy of Sciences",CHN,Government
432,289,Samsung Medical Center Seoul,KOR,Health
433,290,"Rutgers, The State University of New Jersey",USA,Universities
434,291,Institut de Bioenginyeria de Catalunya,ESP,Government
435,291,Lanzhou University *,CHN,Universities
436,291,"BASF, Germany",DEU,Companies
437,291,Renji Hospital,CHN,Health
438,292,Universita Vita-Salute San Raffaele,ITA,Universities
439,292,Wuhan National Laboratory for Optoelectronics,CHN,Government
440,292,Sahlgrenska University Hospital,SWE,Health
441,292,Max Planck Institut fur Polymerforschung,DEU,Government
442,292,Istituto Clinico Humanitas,ITA,Health
443,293,"University of Tennessee, Knoxville *",USA,Universities
444,293,Ghent University,BEL,Universities
445,294,University of Toledo *,USA,Universities
446,294,Carnegie Mellon University *,USA,Universities
447,295,"Kunming Institute of Zoology, Chinese Academy of Sciences",CHN,Government
448,295,Shenzhen University,CHN,Universities
449,295,Universitatsklinikum Essen,DEU,Health
450,296,Northwestern Polytechnical University,CHN,Universities
451,297,"University of Colorado, Anschutz Medical Campus",USA,Universities
452,297,Carnegie Institution for Science *,USA,Non-Profit
453,298,Janssen,MUL,Companies
454,298,University of Southampton,GBR,Universities
455,298,University of Glasgow *,GBR,Universities
456,298,Luxembourg Institute of Science and Technology,LUX,Government
457,299,Augusta University *,USA,Universities
458,299,Fondazione IRCCS Istituto Nazionale Tumori di Milano,ITA,Health
459,300,Technische Universitat Dresden,DEU,Universities
460,300,Deutsches Zentrum fur Neurodegenerative Erkrankungen,DEU,Government
461,300,Westfalische Wilhelms-Universitat Munster *,DEU,Universities
462,301,First Affiliated Hospital of China Medical University,CHN,Health
463,301,Hong Kong Polytechnic University,HKG,Universities
464,301,King Abdulaziz University *,SAU,Universities
465,301,Leiden University Medical Center,NLD,Health
466,302,Siemens *,MUL,Companies
467,302,Rush University *,USA,Universities
468,302,University of Jinan,CHN,Universities
469,303,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
470,303,The University of Hong Kong *,HKG,Universities
471,304,University of Nebraska Medical Center,USA,Universities
472,305,The University of Edinburgh *,GBR,Universities
473,305,"Centro de Investigacion Biomedica en Red de Epidemiologia y Salud Publica, Madrid",ESP,Health
474,305,Swiss Tropical and Public Health Institute,CHE,Government
475,306,U.S. Army *,USA,Government
476,306,Centro de Investigaciones Biologicas Margarita Salas,ESP,Government
477,306,North Carolina State University,USA,Universities
478,307,"Fujian Institute of Research On the Structure of Matter, Chinese Academy of Sciences",CHN,Government
479,307,Hanyang University *,KOR,Universities
480,307,Deutsches Diabetes-Zentrum - Leibniz-Zentrum fur Diabetes-Forschung an der Heinrich-Heine-Universitat Dusseldorf,DEU,Government
481,307,King Abdulaziz City for Science and Technology,SAU,Government
482,308,Karolinska Institute,SWE,Universities
483,308,"University of California, Riverside",USA,Universities
484,309,Erasmus Medical Center,NLD,Health
485,310,Centre Hospitalier Regional Universitaire de Lille *,FRA,Health
486,310,Institute for Color Science and Technology,IRN,Government
487,310,BASF Group *,MUL,Companies
488,310,National Institute of Child Health and Human Development,USA,Health
489,310,University of York,GBR,Universities
490,311,Klinikum Rechts der Isar der Technische Universitat Munchen,DEU,Health
491,311,"AstraZeneca, United Kingdom",GBR,Companies
492,312,Radboud University Nijmegen Medical Centre,NLD,Health
493,312,Fukushima Medical University *,JPN,Universities
494,312,Guangdong University of Technology,CHN,Universities
495,313,Sun Yat-sen University Third Hospital,CHN,Health
496,313,"GlaxoSmithKline, United Kingdom",GBR,Companies
497,313,Utrecht University *,NLD,Universities
498,314,University of Utah Health Care,USA,Health
499,314,Universite de Paris *,FRA,Universities
500,315,Instituto de Agroquimica y Tecnologia de Alimentos ,ESP,Government
501,315,"Centro de Investigacion Biomedica en Red en Bioingenieria, Biomateriales y Nanomedicina, Madrid",ESP,Health
502,315,Southern Medical University *,CHN,Universities
503,315,Institut National des Sciences Appliquees de Rennes *,FRA,Universities
504,316,Yonsei University *,KOR,Universities
505,316,John Innes Center,GBR,Government
506,317,Osaka University *,JPN,Universities
507,317,Erasmus University Rotterdam *,NLD,Universities
508,317,City University of Hong Kong *,HKG,Universities
509,318,VU University Medical Center,NLD,Health
510,318,Lawrence Livermore National Laboratory *,USA,Government
511,318,Jinan University *,CHN,Universities
512,319,Center for Excellence in Brain Science and Intelligence Technology,CHN,Government
513,319,Leibniz Institut fur Molekulare Pharmakologie,DEU,Government
514,319,McGill University Health Centre,CAN,Health
515,320,National Cheng Kung University Hospital,TWN,Health
516,320,"Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government
517,321,Nanjing University of Science and Technology,CHN,Universities
518,321,University of Southern California Health Sciences Campus,USA,Health
519,321,Instituto de Tecnologia Quimica,ESP,Government
520,321,National Institute for Materials Science,JPN,Government
521,321,Ohio State University Wexner Medical Center,USA,Health
522,322,China National Tobacco Corp *,CHN,Government
523,322,University of Copenhagen,DNK,Universities
524,322,National Heart Lung and Blood Institute,USA,Health
525,322,Yangzhou University,CHN,Universities
526,323,George Washington University *,USA,Universities
527,323,China Petroleum and Chemical Corporation *,CHN,Companies
528,324,Technical University of Denmark,DNK,Universities
529,324,GlaxoSmithKline *,MUL,Companies
530,325,Universitat Politecnica de Valencia *,ESP,Universities
531,325,Zhongnan Hospital at Wuhan University,CHN,Health
532,325,Washington University in Saint Louis *,USA,Universities
533,326,Institut de Recerca Biomedica Barcelona,ESP,Health
534,326,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
535,326,"University of Colorado, Boulder *",USA,Universities
536,327,Advanced Institutes of Convergence Technology,KOR,Government
537,327,"Wuhan Institute of Virology, Chinese Academy of Sciences",CHN,Government
538,328,Prince of Wales Hospital,HKG,Health
539,329,University of Rochester *,USA,Universities
540,330,University of Kentucky HealthCare,USA,Health
